"Geographic code","Geographic name","Geographic type","Geographic name, Province or territory","Geographic code, Province or territory","Global non-response rate","Data quality flag","Income source","Sex","Total population 15 years and over, 2006","Total population 15 years and over, 2016","Number of income recipients, 2005","Number of income recipients, 2015","Median amount (2015 constant dollars), 2005","Median amount (2015 constant dollars), 2015","Median amount (2015 constant dollars), % change"
"1210","Colchester","County","Nova Scotia","12",3.8,"00000","Employment income","Males",19670,20190,14205,14235,32284,36008,11.5
"1210","Colchester","County","Nova Scotia","12",3.8,"00000","Employment income","Females",21390,21910,13120,13815,18817,23804,26.5
"1211","Cumberland","County","Nova Scotia","12",4.5,"00000","Total income","Both sexes",26250,25260,25045,24265,23642,27622,16.8
"1211","Cumberland","County","Nova Scotia","12",4.5,"00000","Total income","Males",12505,12180,12040,11720,29576,32717,10.6
"1211","Cumberland","County","Nova Scotia","12",4.5,"00000","Total income","Females",13745,13080,13010,12550,19893,23888,20.1
"1211","Cumberland","County","Nova Scotia","12",4.5,"00000","After-tax income","Both sexes",26250,25260,25040,24280,22159,25415,14.7
"1211","Cumberland","County","Nova Scotia","12",4.5,"00000","After-tax income","Males",12505,12180,12035,11720,26572,29419,10.7
"1211","Cumberland","County","Nova Scotia","12",4.5,"00000","After-tax income","Females",13745,13080,13010,12555,19146,22549,17.8
"1211","Cumberland","County","Nova Scotia","12",4.5,"00000","Employment income","Both sexes",26250,25260,16630,15610,21098,25444,20.6
"1211","Cumberland","County","Nova Scotia","12",4.5,"00000","Employment income","Males",12505,12180,8460,7935,26314,29202,11.0
"1211","Cumberland","County","Nova Scotia","12",4.5,"00000","Employment income","Females",13745,13080,8165,7675,16813,23036,37.0
"1212","Pictou","County","Nova Scotia","12",4.0,"00000","Total income","Both sexes",38350,36480,36220,34965,25017,30402,21.5
"1212","Pictou","County","Nova Scotia","12",4.0,"00000","Total income","Males",18305,17525,17550,16810,34873,36676,5.2
"1212","Pictou","County","Nova Scotia","12",4.0,"00000","Total income","Females",20050,18950,18665,18145,19506,25131,28.8
"1212","Pictou","County","Nova Scotia","12",4.0,"00000","After-tax income","Both sexes",38350,36480,36220,34975,23113,27541,19.2
"1212","Pictou","County","Nova Scotia","12",4.0,"00000","After-tax income","Males",18305,17525,17550,16815,30571,32438,6.1
"1212","Pictou","County","Nova Scotia","12",4.0,"00000","After-tax income","Females",20050,18950,18665,18160,18811,23385,24.3
"1212","Pictou","County","Nova Scotia","12",4.0,"00000","Employment income","Both sexes",38350,36480,24840,23770,24597,27024,9.9
"1212","Pictou","County","Nova Scotia","12",4.0,"00000","Employment income","Males",18305,17525,13150,12130,33698,32132,-4.6
"1212","Pictou","County","Nova Scotia","12",4.0,"00000","Employment income","Females",20050,18950,11690,11645,17792,23403,31.5
"1213","Guysborough","County","Nova Scotia","12",5.6,"00000","Total income","Both sexes",7775,6675,7370,6430,20920,26502,26.7
"1213","Guysborough","County","Nova Scotia","12",5.6,"00000","Total income","Males",3855,3280,3715,3180,25055,33724,34.6
"1213","Guysborough","County","Nova Scotia","12",5.6,"00000","Total income","Females",3925,3395,3655,3250,18313,21549,17.7
"1213","Guysborough","County","Nova Scotia","12",5.6,"00000","After-tax income","Both sexes",7775,6675,7365,6430,20234,24298,20.1
"1213","Guysborough","County","Nova Scotia","12",5.6,"00000","After-tax income","Males",3855,3280,3705,3180,23038,30066,30.5
"1213","Guysborough","County","Nova Scotia","12",5.6,"00000","After-tax income","Females",3925,3395,3660,3245,17823,20740,16.4
"1213","Guysborough","County","Nova Scotia","12",5.6,"00000","Employment income","Both sexes",7775,6675,4635,3885,19515,24096,23.5
"1213","Guysborough","County","Nova Scotia","12",5.6,"00000","Employment income","Males",3855,3280,2530,2070,22747,30016,32.0
"1213","Guysborough","County","Nova Scotia","12",5.6,"00000","Employment income","Females",3925,3395,2105,1815,15061,19694,30.8
"1214","Antigonish","County","Nova Scotia","12",3.9,"00000","Total income","Both sexes",15280,15930,14500,15405,26874,32662,21.5
"1214","Antigonish","County","Nova Scotia","12",3.9,"00000","Total income","Males",7290,7640,7040,7405,33997,38758,14.0
"1214","Antigonish","County","Nova Scotia","12",3.9,"00000","Total income","Females",7990,8290,7455,7995,21260,28265,32.9
"1214","Antigonish","County","Nova Scotia","12",3.9,"00000","After-tax income","Both sexes",15280,15930,14500,15410,24462,29350,20.0
"1214","Antigonish","County","Nova Scotia","12",3.9,"00000","After-tax income","Males",7290,7640,7045,7405,29556,33707,14.0
"1214","Antigonish","County","Nova Scotia","12",3.9,"00000","After-tax income","Females",7990,8290,7460,8005,20287,25940,27.9
"1214","Antigonish","County","Nova Scotia","12",3.9,"00000","Employment income","Both sexes",15280,15930,10730,11220,26016,28847,10.9
"1214","Antigonish","County","Nova Scotia","12",3.9,"00000","Employment income","Males",7290,7640,5485,5630,31340,34311,9.5
"1214","Antigonish","County","Nova Scotia","12",3.9,"00000","Employment income","Females",7990,8290,5245,5590,21339,24768,16.1
"1215","Inverness","County","Nova Scotia","12",5.1,"00000","Total income","Both sexes",15585,14315,14710,13820,25202,29838,18.4
"1215","Inverness","County","Nova Scotia","12",5.1,"00000","Total income","Males",7580,6955,7145,6725,32269,36556,13.3
"1215","Inverness","County","Nova Scotia","12",5.1,"00000","Total income","Females",8010,7360,7570,7095,19756,24431,23.7
"1215","Inverness","County","Nova Scotia","12",5.1,"00000","After-tax income","Both sexes",15585,14315,14710,13820,23423,27160,16.0
"1215","Inverness","County","Nova Scotia","12",5.1,"00000","After-tax income","Males",7580,6955,7140,6725,28505,32411,13.7
"1215","Inverness","County","Nova Scotia","12",5.1,"00000","After-tax income","Females",8010,7360,7570,7095,18928,23025,21.6
"1215","Inverness","County","Nova Scotia","12",5.1,"00000","Employment income","Both sexes",15585,14315,10110,9345,20043,23319,16.3
"1215","Inverness","County","Nova Scotia","12",5.1,"00000","Employment income","Males",7580,6955,5245,4755,25703,28400,10.5
"1215","Inverness","County","Nova Scotia","12",5.1,"00000","Employment income","Females",8010,7360,4860,4590,16215,19130,18.0
"1216","Richmond","County","Nova Scotia","12",4.4,"00000","Total income","Both sexes",8135,7750,7580,7440,22173,27637,24.6
"1216","Richmond","County","Nova Scotia","12",4.4,"00000","Total income","Males",3965,3780,3780,3650,30625,34643,13.1
"1216","Richmond","County","Nova Scotia","12",4.4,"00000","Total income","Females",4170,3975,3800,3790,17894,22264,24.4
"1216","Richmond","County","Nova Scotia","12",4.4,"00000","After-tax income","Both sexes",8135,7750,7590,7440,20727,25568,23.4
"1216","Richmond","County","Nova Scotia","12",4.4,"00000","After-tax income","Males",3965,3780,3780,3655,27234,31019,13.9
"1216","Richmond","County","Nova Scotia","12",4.4,"00000","After-tax income","Females",4170,3975,3810,3790,17448,21179,21.4
"1216","Richmond","County","Nova Scotia","12",4.4,"00000","Employment income","Both sexes",8135,7750,4550,4545,22261,24280,9.1
"1216","Richmond","County","Nova Scotia","12",4.4,"00000","Employment income","Males",3965,3780,2475,2365,28293,28378,0.3
"1216","Richmond","County","Nova Scotia","12",4.4,"00000","Employment income","Females",4170,3975,2075,2175,16720,20974,25.4
"1217","Cape Breton","County","Nova Scotia","12",3.9,"00000","Total income","Both sexes",87740,83220,82710,79755,23730,28457,19.9
"1217","Cape Breton","County","Nova Scotia","12",3.9,"00000","Total income","Males",40915,39170,38690,37475,30159,33172,10.0
"1217","Cape Breton","County","Nova Scotia","12",3.9,"00000","Total income","Females",46825,44050,44015,42275,19880,24730,24.4
"1217","Cape Breton","County","Nova Scotia","12",3.9,"00000","After-tax income","Both sexes",87740,83220,82720,79770,22055,26310,19.3
"1217","Cape Breton","County","Nova Scotia","12",3.9,"00000","After-tax income","Males",40915,39170,38695,37475,27130,29936,10.3
"1217","Cape Breton","County","Nova Scotia","12",3.9,"00000","After-tax income","Females",46825,44050,44025,42295,19189,23474,22.3
"1217","Cape Breton","County","Nova Scotia","12",3.9,"00000","Employment income","Both sexes",87740,83220,50685,50080,22402,26768,19.5
"1217","Cape Breton","County","Nova Scotia","12",3.9,"00000","Employment income","Males",40915,39170,25235,24525,26041,30519,17.2
"1217","Cape Breton","County","Nova Scotia","12",3.9,"00000","Employment income","Females",46825,44050,25450,25555,18897,23951,26.7
"1218","Victoria","County","Nova Scotia","12",4.7,"00000","Total income","Both sexes",6270,5940,6020,5745,25771,30319,17.6
"1218","Victoria","County","Nova Scotia","12",4.7,"00000","Total income","Males",3055,2930,2985,2830,31051,34304,10.5
"1218","Victoria","County","Nova Scotia","12",4.7,"00000","Total income","Females",3220,3015,3035,2920,22173,26544,19.7
"1218","Victoria","County","Nova Scotia","12",4.7,"00000","After-tax income","Both sexes",6270,5940,6020,5755,23735,27405,15.5
"1218","Victoria","County","Nova Scotia","12",4.7,"00000","After-tax income","Males",3055,2930,2990,2830,26874,30737,14.4
"1218","Victoria","County","Nova Scotia","12",4.7,"00000","After-tax income","Females",3220,3015,3030,2920,20697,24640,19.1
"1218","Victoria","County","Nova Scotia","12",4.7,"00000","Employment income","Both sexes",6270,5940,4170,3945,17082,19719,15.4
"1218","Victoria","County","Nova Scotia","12",4.7,"00000","Employment income","Males",3055,2930,2170,2045,20897,23117,10.6
"1218","Victoria","County","Nova Scotia","12",4.7,"00000","Employment income","Females",3220,3015,2000,1900,14469,16752,15.8
"1301","Saint John","County","New Brunswick","13",4.1,"00000","Total income","Both sexes",60850,60885,57930,57805,26693,30272,13.4
"1301","Saint John","County","New Brunswick","13",4.1,"00000","Total income","Males",28190,28800,26820,27205,33493,36578,9.2
"1301","Saint John","County","New Brunswick","13",4.1,"00000","Total income","Females",32665,32080,31110,30605,22693,26143,15.2
"1301","Saint John","County","New Brunswick","13",4.1,"00000","After-tax income","Both sexes",60850,60885,57910,57820,24344,27681,13.7
"1301","Saint John","County","New Brunswick","13",4.1,"00000","After-tax income","Males",28190,28800,26820,27205,29476,32298,9.6
"1301","Saint John","County","New Brunswick","13",4.1,"00000","After-tax income","Females",32665,32080,31095,30615,21254,24342,14.5
"1301","Saint John","County","New Brunswick","13",4.1,"00000","Employment income","Both sexes",60850,60885,39945,40960,27548,30313,10.0
"1301","Saint John","County","New Brunswick","13",4.1,"00000","Employment income","Males",28190,28800,20020,20420,32873,36075,9.7
"1301","Saint John","County","New Brunswick","13",4.1,"00000","Employment income","Females",32665,32080,19925,20535,23740,26190,10.3
"1302","Charlotte","County","New Brunswick","13",3.7,"00000","Total income","Both sexes",21900,21160,20845,20300,24654,29064,17.9
"1302","Charlotte","County","New Brunswick","13",3.7,"00000","Total income","Males",10495,10250,10045,9835,33742,36795,9.0
"1302","Charlotte","County","New Brunswick","13",3.7,"00000","Total income","Females",11405,10915,10800,10460,20129,24290,20.7
"1302","Charlotte","County","New Brunswick","13",3.7,"00000","After-tax income","Both sexes",21900,21160,20845,20310,22705,26661,17.4
"1302","Charlotte","County","New Brunswick","13",3.7,"00000","After-tax income","Males",10495,10250,10045,9840,29722,32626,9.8
"1302","Charlotte","County","New Brunswick","13",3.7,"00000","After-tax income","Females",11405,10915,10800,10470,19204,22986,19.7
"1302","Charlotte","County","New Brunswick","13",3.7,"00000","Employment income","Both sexes",21900,21160,14585,14095,22658,27008,19.2
"1302","Charlotte","County","New Brunswick","13",3.7,"00000","Employment income","Males",10495,10250,7525,7265,32544,35955,10.5
"1302","Charlotte","County","New Brunswick","13",3.7,"00000","Employment income","Females",11405,10915,7065,6835,17338,21788,25.7
"1303","Sunbury","County","New Brunswick","13",4.9,"00000","Total income","Both sexes",19785,21880,18845,20885,30600,37057,21.1
"1303","Sunbury","County","New Brunswick","13",4.9,"00000","Total income","Males",9865,11135,9490,10680,43899,49512,12.8
"1303","Sunbury","County","New Brunswick","13",4.9,"00000","Total income","Females",9920,10745,9360,10210,20912,26480,26.6
"1303","Sunbury","County","New Brunswick","13",4.9,"00000","After-tax income","Both sexes",19785,21880,18845,20915,27224,32732,20.2
"1303","Sunbury","County","New Brunswick","13",4.9,"00000","After-tax income","Males",9865,11135,9485,10675,37267,42209,13.3
"1303","Sunbury","County","New Brunswick","13",4.9,"00000","After-tax income","Females",9920,10745,9355,10240,19553,24369,24.6
"1303","Sunbury","County","New Brunswick","13",4.9,"00000","Employment income","Both sexes",19785,21880,14555,16325,31511,36837,16.9
"1303","Sunbury","County","New Brunswick","13",4.9,"00000","Employment income","Males",9865,11135,7880,8900,45344,48666,7.3
"1303","Sunbury","County","New Brunswick","13",4.9,"00000","Employment income","Females",9920,10745,6675,7420,20521,25521,24.4
"1304","Queens","County","New Brunswick","13",3.6,"00000","Total income","Both sexes",9845,9075,9285,8690,22946,26353,14.8
"1304","Queens","County","New Brunswick","13",3.6,"00000","Total income","Males",4845,4455,4630,4285,30714,34832,13.4
"1304","Queens","County","New Brunswick","13",3.6,"00000","Total income","Females",5000,4620,4655,4405,18500,20992,13.5
"1304","Queens","County","New Brunswick","13",3.6,"00000","After-tax income","Both sexes",9845,9075,9280,8700,21243,24610,15.8
"1304","Queens","County","New Brunswick","13",3.6,"00000","After-tax income","Males",4845,4455,4630,4285,27291,31328,14.8
"1304","Queens","County","New Brunswick","13",3.6,"00000","After-tax income","Females",5000,4620,4650,4415,17763,20364,14.6
"1304","Queens","County","New Brunswick","13",3.6,"00000","Employment income","Both sexes",9845,9075,5770,5265,21648,25690,18.7
"1304","Queens","County","New Brunswick","13",3.6,"00000","Employment income","Males",4845,4455,3165,2795,27363,32653,19.3
"1304","Queens","County","New Brunswick","13",3.6,"00000","Employment income","Females",5000,4620,2605,2475,17083,20891,22.3
"1305","Kings","County","New Brunswick","13",2.9,"00000","Total income","Both sexes",52500,56195,49805,53395,30056,36055,20.0
"1305","Kings","County","New Brunswick","13",2.9,"00000","Total income","Males",25600,27405,24425,26070,40499,46536,14.9
